id,source,weekNumber,english,exampleSentence,wordCount
w1-listen-01,listen,1,reset moment,A long walk gave her the reset moment she needed.,10
w1-listen-03,listen,1,marker,A new notebook became a marker for the next chapter.,10
w1-listen-04,listen,1,let go,She was learning how to let go without rushing herself.,10
w1-listen-05,listen,1,clean break,Moving desks gave him a clean break from the old routine.,11
w4-listen-01,listen,4,studio apartment,She rents a studio apartment near the office.,8
w4-listen-02,listen,4,down payment,Saving for a down payment takes years in this city.,10
w4-listen-04,listen,4,break the ice,Introducing myself first helped break the ice with my new neighbors.,11
w4-speak-02,speak,4,natural light,This room gets great natural light in the afternoon.,9
w4-speak-03,speak,4,mortgage,His monthly mortgage payment is higher than most people's rent.,10
w4-speak-04,speak,4,clutter,Getting rid of clutter made the apartment feel twice as big.,11
w4-speak-05,speak,4,inconsiderate,It's inconsiderate to play loud music after ten at night.,10
w5-speak-02,speak,5,moment matters,"The whole dinner said, without words, that the moment matters.",10
w5-speak-04,speak,5,the thought behind it,She remembered the thought behind it more than the object.,10
w6-listen-01,listen,6,on rotation,She has five dinner recipes on rotation for busy weeknights.,10
w6-listen-03,listen,6,mastery,Years of making the same dish leads to true mastery.,10
w6-listen-06,listen,6,globalization,Globalization has brought hundreds of cuisines to every major city.,10
w6-speak-01,speak,6,lab-grown meat,Lab-grown meat could dramatically reduce the environmental impact of protein production.,11
w6-speak-04,speak,6,local knowledge,Local knowledge takes years to acquire but is invaluable when traveling.,11
w6-speak-05,speak,6,individual variation,Individual variation explains why the same diet works differently for everyone.,11
w7-listen-01,listen,7,cold front,A cold front is moving in — temperatures will drop tonight.,11
w7-listen-03,listen,7,hypothesis,The theory that climate shapes culture is an interesting hypothesis.,10
w7-listen-06,listen,7,misattributed,The excitement from the roller coaster was misattributed as romantic attraction.,11
w7-speak-02,speak,7,overcast,"It's been overcast for days, which really affects my mood.",10
w7-speak-03,speak,7,dehumidifier,A dehumidifier is essential during Taiwan's rainy season.,8
w7-speak-04,speak,7,passive cooling,Traditional architecture used passive cooling techniques before air conditioning existed.,10
w8-listen-06,listen,8,money etiquette,Good money etiquette made the dinner feel easy instead of awkward.,11
w13-speak-04,speak,13,passive-aggressive,His passive-aggressive emails always sounded polite but felt like a warning.,11
w15-listen-03,listen,15,social battery,"After three back-to-back events, her social battery was completely empty.",10
w15-listen-05,listen,15,procrastinate,She tends to procrastinate on tasks that feel ambiguous or overwhelming.,11
w26-listen-04,listen,26,availability,"Constant availability made her feel responsive, but not necessarily useful.",10
w26-speak-05,speak,26,response window,Setting a response window reduced panic without making her seem cold.,11
w27-speak-02,speak,27,unfamiliar place,An unfamiliar place can make your ordinary habits look surprisingly visible.,11
w28-listen-06,listen,28,public comparison,Public comparison changed the mood of the project almost instantly.,10
w28-speak-02,speak,28,anticipation,Street photography often depends on anticipation more than on luck.,10
